college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Five Towns College,Five Towns College,525,1,nfl,five towns,,,,,
Flagler,Flagler,2228,1,mlb,,,,,,
Florence-Darlington Tech,Florence-Darlington Tech,110721,1,mlb,florence darlington,florence darlington tech,,,,
Florida,Florida,57,331,"nfl, nba, mlb",uf,,,,,
Florida A&M,Florida A&M,50,35,"nfl, mlb",florida am,fla am,fla a&m,,,
Florida Atlantic,Florida Atlantic,2226,60,"nfl, mlb",fla atlantic,fau,,,,
Florida Gulf Coast,Florida Gulf Coast,526,11,"nfl, mlb",fgcu,,,,,
Florida International,Florida International,2229,48,"nfl, mlb",fiu,,,,,
Florida State,Florida State,52,302,"nfl, nba, mlb",fla st,fla state,florida st,fsu,,
Florida Tech,Florida Tech,53,5,"nfl, mlb",fla tech,fl tech,,,,
Fordham,Fordham,2230,23,"nfl, mlb",,,,,,
Fort Hays State,Fort Hays State,2231,5,nfl,fort hays st,,,,,
Fort Lewis,Fort Lewis,2237,1,nfl,,,,,,
Fort Valley State,Fort Valley State,2232,12,nfl,fort valley,fort valley st,,,,
Framingham State,Framingham State,2967,1,nfl,framingham st,,,,,
Franklin,Franklin,2233,1,nfl,,,,,,
Fresno City Coll. CA (J.C.),Fresno City Coll. CA (J.C.),110135,1,mlb,fresno city,fresno city college,,,,
Fresno State,Fresno State,278,154,"nfl, nba, mlb",fresno,,,,,
Friends University,Friends University,527,1,nfl,friends,,,,,
Frostburg State,Frostburg State,341,1,nfl,frostburg,frostburg st,frostburg state,,,
Furman,Furman,231,23,"nfl, nba, mlb",,,,,,
Galveston,Galveston,110138,1,mlb,,,,,,
Garden City CC KS,Garden City CC KS,110139,1,nfl,garden city,garden city community college,,,,
Gardner-Webb,Gardner-Webb,2241,13,"nfl, mlb",gardner webb,,,,,
George Mason,George Mason,2244,4,mlb,,,,,,
George Washington,George Washington,45,1,mlb,,,,,,
Georgetown,Georgetown,46,7,"nfl, nba, mlb",,,,,,
Georgia,Georgia,61,316,"nfl, nba, mlb",uga,,,,,
Georgia Southern,Georgia Southern,290,43,"nfl, mlb",ga southern,,,,,
Georgia State,Georgia State,2247,27,"nfl, mlb",ga state,ga st,georgia st,,,
Georgia Tech,Georgia Tech,59,149,"nfl, nba, mlb",ga tech,gt,,,,
Glendale CC CA,Glendale CC CA,110145,1,mlb,glendale cc,glendale,,,,
Globe Tech NY (J.C.),Globe Tech NY (J.C.),110146,1,nfl,globe tech,globe tech ny,,,,
Gloucester County (N.J.) JC,Gloucester County (N.J.) JC,110147,1,mlb,gloucester,gloucester county,,,,
Golden West College,Golden West College,3113,2,"nfl, mlb",golden west,,,,,
Gonzaga,Gonzaga,2250,25,"nba, mlb",zaga,,,,,
Gordon College,Gordon College,416,1,nfl,gordon,,,,,
Grambling,Grambling,2755,46,"nfl, mlb",grambling state,,,,,
Grand Canyon,Grand Canyon,2253,12,"nba, mlb",gcu,,,,,
Grand Valley State,Grand Valley State,125,18,nfl,grand valley,grand valley st,gvsu,,,
Grand View,Grand View,2254,2,nfl,,,,,,
Green Mountain Colle,Green Mountain College,532,2,nfl,green mountain,green mountain college,,,,
Greenville,Greenville,2257,1,nfl,,,,,,
Gulf Coast State,Gulf Coast State,110155,4,mlb,gulf coast st,,,,,
Gustavus Adolphus,Gustavus Adolphus,2968,1,nfl,,,,,,
Hampton,Hampton,2261,29,nfl,,,,,,
Hannibal-LaGrange,Hannibal-LaGrange,533,1,nfl,hannibal lagrange,hannibal,lagrange,,,
Harding,Harding,2264,4,nfl,,,,,,
Harris-Stowe State,Harris-Stowe State,534,5,nfl,harris stowe,harris stowe st,harris stowe state,,,
Hartford,Hartford,42,3,mlb,,,,,,
Harvard,Harvard,108,49,"nfl, nhl, mlb",harvard u,harvard university,,,,
Haskell,Haskell,535,1,nfl,,,,,,
Hastings,Hastings,536,3,nfl,,,,,,
Hawai'i,Hawai'i,62,81,"nfl, mlb",hawaii,,,,,
Hawaii Pacific,Hawaii Pacific,2269,1,mlb,hawaii,hawaii pacific,,,,
Hawaii-Hilo,Hawaii-Hilo,2267,1,mlb,hawaii,hawaii hilo,,,,
Heidelberg,Heidelberg,191,8,nfl,,,,,,
Henderson State,Henderson State,2271,6,nfl,henderson,henderson st,,,,
High Point,High Point,2272,4,"nba, mlb",,,,,,
Hillsboro Junior College,Hillsboro Junior College,110163,1,mlb,hillsboro,,,,,
Hillsborough,Hillsborough,54,21,"nfl, mlb",,,,,,
Hillsdale,Hillsdale,2273,4,nfl,,,,,,
Hinds CC MS,Hinds CC MS,110164,1,nfl,hinds,hinds community college,,,,
Hobart College,Hobart College,174,4,nfl,hobart,,,,,
Hofstra,Hofstra,2275,17,"nfl, mlb",,,,,,
Holy Cross,Holy Cross,107,11,nfl,,,,,,
Houghton,Houghton,538,1,nfl,,,,,,
Houston,Houston,248,132,"nfl, nba, mlb",,,,,,
Houston Christian,Houston Christian,2277,4,"nfl, mlb",,,,,,
Howard,Howard,47,21,"nfl, mlb",,,,,,
Howard Coll. TX (J.C.),Howard Coll. TX (J.C.),110167,3,mlb,howard,howard college,,,,
Howard Payne,Howard Payne,2758,1,nfl,howard,,,,,
Humboldt State,Humboldt State,2278,5,nfl,humboldt,humboldt st,,,,
Huntingdon College (AL),Huntingdon College (AL),2938,1,mlb,Huntingdon College,Huntingdon College al,Huntingdon,,,
Huron University,Huron University,540,1,nfl,huron,,,,,
Husson College,Husson College,541,1,nfl,husson,,,,,
IU Indianapolis,IU Indianapolis,85,1,mlb,indianapolis,iu,,,,
Idaho,Idaho,70,53,nfl,,,,,,
Idaho State,Idaho State,304,13,nfl,idaho st,,,,,
Illinois,Illinois,356,171,"nfl, nba, mlb",,,,,,
Illinois State,Illinois State,2287,55,"nfl, mlb",ill state,ill st,illinois st,,,
Immaculata,Immaculata,208,3,nfl,,,,,,
Incarnate Word,Incarnate Word,2916,8,nfl,,,,,,
Indian Hills Community,Indian Hills Community,110172,1,mlb,indian hills,,,,,
Indian River State,Indian River State,110173,1,mlb,indian river,indian river st,,,,
Indiana,Indiana,84,139,"nfl, nba, mlb",iu,,,,,
Indiana State,Indiana State,282,20,"nfl, mlb",indiana st,,,,,
Indiana-Pennsylvania,Indiana-Pennsylvania,2291,10,nfl,indiana pennsylvania,indiana university of pennsylvania,,,,
Indianapolis,Indianapolis,2292,3,nfl,indy,,,,,
Iowa,Iowa,2294,228,"nfl, nba, mlb",hawkeyes,,,,,
Iowa State,Iowa State,66,110,"nfl, nba",iowa st,university of iowa,,,,
Iowa Western Community,Iowa Western Community,110179,3,"nfl, mlb",iowa western,,,,,
